treatment,risk,odds,replicate_id
Moderna,0.0068,0.00684655658477648,1
No_vaccine,0.00626666666666666,0.00630618542868643,1
Moderna,0.00686666666666666,0.00691414378733973,2
No_vaccine,0.0062,0.00623867981485208,2
Moderna,0.00626666666666666,0.00630618542868643,3
No_vaccine,0.0068,0.00684655658477648,3
Moderna,0.00693333333333333,0.00698174006444683,4
No_vaccine,0.00613333333333333,0.00617118325731151,4
Moderna,0.00613333333333333,0.00617118325731151,5
No_vaccine,0.00693333333333333,0.00698174006444683,5
Moderna,0.00646666666666666,0.00650875662618264,6
No_vaccine,0.0066,0.00664384940608012,6
Moderna,0.0062,0.00623867981485208,7
No_vaccine,0.00686666666666666,0.00691414378733973,7
Moderna,0.00566666666666666,0.00569896077774053,8
No_vaccine,0.0074,0.00745516824501309,8
Moderna,0.0066,0.00664384940608012,9
No_vaccine,0.00646666666666666,0.00650875662618264,9
Moderna,0.00673333333333333,0.00677897845492986,10
No_vaccine,0.00633333333333333,0.00637370010063736,10
Moderna,0.00646666666666666,0.00650875662618264,11
No_vaccine,0.0066,0.00664384940608012,11
Moderna,0.0062,0.00623867981485208,12
No_vaccine,0.00686666666666666,0.00691414378733973,12
Moderna,0.00726666666666666,0.00731985763212678,13
No_vaccine,0.0058,0.00583383625025145,13
Moderna,0.00593333333333333,0.00596874790423177,14
No_vaccine,0.00713333333333333,0.00718458336131068,14
Moderna,0.00613333333333333,0.00617118325731151,15
No_vaccine,0.00693333333333333,0.00698174006444683,15
Moderna,0.00606666666666666,0.0061036957542423996,16
No_vaccine,0.007,0.00704934541792547,16
Moderna,0.00666666666666666,0.00671140939597315,17
No_vaccine,0.0064,0.00644122383252818,17
Moderna,0.0078,0.00786131828260431,18
No_vaccine,0.00526666666666666,0.00529455130353193,18
Moderna,0.00626666666666666,0.00630618542868643,19
No_vaccine,0.0068,0.00684655658477648,19
Moderna,0.0066,0.00664384940608012,20
No_vaccine,0.00646666666666666,0.00650875662618264,20
Moderna,0.0064,0.00644122383252818,21
No_vaccine,0.00666666666666666,0.00671140939597315,21
Moderna,0.00753333333333333,0.00759051521461678,22
No_vaccine,0.00553333333333333,0.00556412147214587,22
Moderna,0.007,0.00704934541792547,23
No_vaccine,0.00606666666666666,0.0061036957542423996,23
Moderna,0.006,0.00603621730382293,24
No_vaccine,0.00706666666666666,0.00711695984960386,24
Moderna,0.00673333333333333,0.00677897845492986,25
No_vaccine,0.00633333333333333,0.00637370010063736,25
